matrix	Df	SumOfSqs	R2	F	Pr(>F)	component	n	p_BH
braycurtis_oral	1	0.25145643788181943	0.008707779064907738	1.3264248533704208	0.167	EyePain	6	0.2812631578947368
braycurtis_oral	1	0.21561969189542485	0.007466774980528695	1.1359650172292362	0.289	Fatigue	9	0.3425185185185185
braycurtis_oral	1	0.17098725712065005	0.00592118169836225	0.8994240899129584	0.536	Initiative	5	0.536
braycurtis_oral	1	0.18517672734796345	0.0064125541715760875	0.9745450025293474	0.437	Sadness	2	0.46613333333333334
braycurtis_oral	1	0.3554341163398693	0.012308460993442199	1.8817389201077606	0.015	Anxious	9	0.06857142857142856
braycurtis_oral	1	0.22714148469542478	0.007865767454052866	1.197147368369811	0.232	Irritated	3	0.33890909090909094
braycurtis_oral	1	0.2109295894392844	0.0073043596678650895	1.1110739939168082	0.321	Anger	1	0.35420689655172416
braycurtis_oral	1	0.4442390885947072	0.015383721602294956	2.3592357885111652	0.005	Other	7	0.032
rpca_gut	1	2.711752661581893	0.009342865031779835	1.405215629704068	0.244	BackJoints	33	0.8537600000000001
rpca_gut	0	0	0	0	NA	HeartTr	0	NA
rpca_gut	1	1.3627964212392296	0.004695274465777892	0.702896185914724	0.499	Breath	5	0.8537600000000001
rpca_gut	1	1.0148908211779413	0.003496627143983854	0.5228255705350962	0.621	Cough	4	0.8537600000000001
rpca_gut	1	4.07128392708877	0.01402688997994969	2.1197399663059806	0.119	Throat	8	0.7616
rpca_gut	1	0.8143644270827829	0.0028057488563425093	0.41923284166106567	0.715	SwollenJ	2	0.8767999999999999
rpca_gut	1	1.2304150711332296	0.0042391778960989834	0.6343265295216057	0.468	Numbness	1	0.8537600000000001
rpca_gut	1	1.0232854637478135	0.003525549402872538	0.5271654087199358	0.606	MuscleSp	6	0.8537600000000001
rpca_gut	1	0.4478411311800958	0.0015429575505070028	0.23025595018242653	0.822	MuscleWeak	5	0.8767999999999999
rpca_gut	1	1.6475395139043987	0.005676306519767051	0.8505979259983353	0.431	Sleep	23	0.8537600000000001
rpca_gut	1	0.2313025470852197	7.96912089196025e-4	0.11883460202117321	0.881	ViDreams	14	0.881
rpca_gut	1	2.2220974001306573	0.007655844277766423	1.1495213538663651	0.304	ViDreamsAwa	2	0.8537600000000001
rpca_gut	1	0.8172427588229791	0.002815665640179887	0.42071878381055683	0.654	SleepDay	22	0.8537600000000001
rpca_gut	1	4.298966426371735	0.014811329833567515	2.240066509117223	0.105	Diz	7	0.7616
rpca_gut	1	0.44467040459223384	0.0015320333718447095	0.22862323082406316	0.819	Concent	4	0.8767999999999999
rpca_gut	1	2.2220974001306573	0.007655844277766423	1.1495213538663651	0.304	confusion	2	0.8537600000000001
rpca_gut	1	3.1824340705131897	0.010964514726795825	1.651824144450482	0.19	Stom	42	0.8537600000000001
rpca_gut	1	1.9262043937590263	0.006636397164634407	0.9954292413252519	0.401	Indigestion	6	0.8537600000000001
rpca_gut	1	1.2538485431090738	0.004319913786579715	0.6464598048237051	0.541	Nausea	6	0.8537600000000001
rpca_gut	1	1.1126247622522503	0.0038333521828922807	0.5733673944038873	0.571	LossAp	13	0.8537600000000001
rpca_gut	1	2.2220974001306573	0.007655844277766423	1.1495213538663651	0.304	Incontinence	2	0.8537600000000001
rpca_gut	1	0.8043404864639515	0.002771213138680971	0.4140582011907832	0.667	Headache	17	0.8537600000000001
rpca_gut	1	2.360971345401752	0.008134309937809966	1.2219519163503798	0.321	Skin	11	0.8537600000000001
rpca_gut	1	4.545260145980264	0.015659891360980262	2.3704447195717617	0.094	Itching	9	0.7616
rpca_gut	1	1.0224503950809531	0.003522672321213404	0.5267336860372513	0.584	RingEars	3	0.8537600000000001
rpca_gut	1	0.5078402310753896	0.0017496738562717779	0.26115834651574066	0.791	EyePain	7	0.8767999999999999
rpca_gut	1	0.2591120034330235	8.927246612442216e-4	0.1331348272689625	0.866	Fatigue	9	0.881
rpca_gut	1	1.1025227871865115	0.003798547611321013	0.5681417074124142	0.585	Initiative	5	0.8537600000000001
rpca_gut	1	2.172485139268485	0.007484913992079404	1.1236627035117237	0.306	Sadness	2	0.8537600000000001
rpca_gut	1	5.376558200093251	0.018523982039599953	2.812165833288608	0.051	Anxious	8	0.7616
rpca_gut	1	0.4937882740443683	0.0017012603192139342	0.2539197711938722	0.788	Irritated	3	0.8767999999999999
rpca_gut	1	0.7801168768651927	0.0026877549685203825	0.40155477114080373	0.654	Anger	1	0.8537600000000001
rpca_gut	1	8.624894856122065	0.029715552489596817	4.563215799563204	0.015	Other	7	0.48
rpca_oral	1	12.307141340793532	0.041338802135528374	6.511329692251982	0.003	BackJoints	34	0.032
rpca_oral	0	0	0	0	NA	HeartTr	0	NA
rpca_oral	1	1.7312935996067942	0.005815290616304675	0.8832452106473797	0.421	Breath	5	0.53888
rpca_oral	1	1.587600537256001	0.005332635960094755	0.8095450389603847	0.456	Cough	4	0.5404444444444444
rpca_oral	1	1.3139138681980056	0.0044133421333618925	0.6693688157348872	0.523	Throat	8	0.5977142857142858
